datetime,index,sv,rv
2010-11-09,CAC 40,1.1234081104400342,0.006403124237432849
2010-11-09,DAX,1.1048593891638123,0.004669047011971501
2010-11-09,DJIA,1.1845488917109217,0.0067082039324993705
2010-11-09,FTSE 100,0.9390979782270604,0.005761944116355174
2010-11-10,CAC 40,1.5304400345125109,0.008130190649671137
2010-11-10,DAX,1.2246634193141055,0.008006247560499238
2010-11-10,DJIA,1.0892403601939509,0.006284902544988267
2010-11-10,FTSE 100,0.9521410057024364,0.007893034904268447
2010-11-11,CAC 40,0.8954702329594477,0.009757048734120376
2010-11-11,DAX,1.1447940658805769,0.00861974477580398
2010-11-11,DJIA,1.0483938466866776,0.0073959448348402375
2010-11-11,FTSE 100,1.239087610160705,0.007259476565152616
2010-11-12,CAC 40,1.1722519413287316,0.012950019305004916
2010-11-12,DAX,1.038301594635872,0.0078102496759066544
2010-11-12,DJIA,0.9803163241745556,0.008473488065725943
2010-11-12,FTSE 100,1.1086573354069464,0.01889550211029069
2010-11-15,CAC 40,1.2373770491803278,0.008087026647662292
2010-11-15,DAX,0.9983669179191076,0.007252585745787498
2010-11-15,DJIA,1.0075473331794045,0.006348228099241551
2010-11-15,FTSE 100,1.0043131156039398,0.0064498061986388395
2010-11-16,CAC 40,1.1885332182916306,0.01108535069359558
2010-11-16,DAX,1.0782362713526363,0.007733045971672481
2010-11-16,DJIA,1.0892403601939509,0.010795832529267949
2010-11-16,FTSE 100,1.0434421980300672,0.01171110584018435
2010-11-17,CAC 40,1.4164710957722173,0.006892024376045111
2010-11-17,DAX,1.024990035730284,0.004774934554525329
2010-11-17,DJIA,1.1573178827060726,0.0049193495504995365
2010-11-17,FTSE 100,1.0956143079315708,0.005522680508593629
2010-11-18,CAC 40,1.2210957722174287,0.008306623862918075
2010-11-18,DAX,1.05161315354146,0.0066783231428256
2010-11-18,DJIA,1.1845488917109217,0.01136635385688832
2010-11-18,FTSE 100,1.056485225505443,0.010239580069514571
2010-11-19,CAC 40,1.1559706643658323,0.009192388155425118
2010-11-19,DAX,1.3311558905588103,0.006244997998398397
2010-11-19,DJIA,1.1300868737012235,0.005039841267341661
2010-11-19,FTSE 100,0.9260549507516844,0.007974960814950754
2010-11-22,CAC 40,1.3513459879206207,0.009476286192385708
2010-11-22,DAX,0.9584322412023432,0.006580273550544841
2010-11-22,DJIA,0.9803163241745556,0.00819756061276768
2010-11-22,FTSE 100,1.1999585277345777,0.01201399184284724
2010-11-23,CAC 40,1.3350647109577218,0.011967873662434778
2010-11-23,DAX,1.1980403015029288,0.009486832980505138
2010-11-23,DJIA,1.0483938466866776,0.011431316634578888
2010-11-23,FTSE 100,1.0825712804561949,0.01182780622093548
2010-11-24,CAC 40,1.3513459879206207,0.010161003887411913
2010-11-24,DAX,1.0649247124470482,0.008191458966508957
2010-11-24,DJIA,0.9530853151697068,0.009121403400793105
2010-11-24,FTSE 100,0.9260549507516844,0.009197825830053534
2010-11-25,CAC 40,1.3513459879206207,0.008831760866327847
2010-11-25,DAX,1.05161315354146,0.006284902544988267
2010-11-25,FTSE 100,1.0434421980300672,0.00606630035524124
2010-11-26,CAC 40,1.4164710957722173,0.01233077450933233
2010-11-26,DAX,0.8785628877688149,0.009638464608017192
2010-11-26,DJIA,0.6807752251212191,0.009612491872558334
2010-11-26,FTSE 100,0.8086677034733021,0.01224630556535317
2010-11-29,CAC 40,0.9605953408110441,0.01560179476855147
2010-11-29,DAX,1.1181709480694006,0.012625846506274341
2010-11-29,DJIA,0.9394698106672824,0.010419548934574856
2010-11-29,FTSE 100,1.0303991705546915,0.01374328927149538
2010-11-30,CAC 40,1.628127696289905,0.013833510039032031
2010-11-30,DAX,1.1847287425973412,0.01214084016862095
2010-11-30,DJIA,0.99393182867698,0.01060042451980108
2010-11-30,FTSE 100,0.9912700881285638,0.012823260115898764
2010-12-01,CAC 40,1.3949506777375629,0.008608135686662938
2010-12-01,DAX,1.118715522309354,0.008300602387778853
2010-12-01,DJIA,0.971269477329091,0.016662052694671206
2010-12-01,FTSE 100,1.058667058996616,0.010316540117694496
2010-12-02,CAC 40,1.1159605421900505,0.014073627819435898
2010-12-02,DAX,1.2669790252660158,0.012258874336577564
2010-12-02,DJIA,1.1037153151466943,0.0043588989435406735
2010-12-02,FTSE 100,0.7699396792702662,0.011476976953884678
2010-12-03,CAC 40,1.241506103186431,0.010283919486265924
2010-12-03,DAX,1.0648015212342046,0.007661592523751181
2010-12-03,DJIA,1.0043809367834915,0.004062019202317979
2010-12-03,FTSE 100,1.1067882889510077,0.008306623862918075
2010-12-06,CAC 40,1.3810011709601873,0.009359487165438073
